Breeds,SRR_list,
Angus,SRR7513518.1,
Angus,SRR7513519.1,
Angus,SRR7513520,
Angus,SRR7513521.1,
Angus,SRR7513522.1,
Angus,SRR7513523.1,
Angus,SRR7513524.1,
Angus,SRR7513525.1,
Angus,SRR7513526.1,
Angus,SRR7513527,
Angus,SRR7513528,
Angus,SRR7513529.1,
Angus,SRR7513530.1,
Angus,SRR7513531.1,
Angus,SRR7513532.1,
Angus,SRR7513533,
Angus,SRR7513534.1,
Angus,SRR7513535,
Angus,SRR7513536.1,
Hereford,SRR8703150,
Hereford,SRR87031987,
Hereford,SRR5099738.1,
Hereford,SRR5099739.1,
Hereford,SRR5099740.1,
Hereford,SRR5099741.1,
Simmental,SRR7188614.1,
Simmental,SRR7188615.1,
Simmental,SRR7188616.1,
Simmental,SRR7188617.1,
Simmental,SRR7188618.1,
Simmental,SRR7188619.1,
Simmental,SRR7188620.1,
Simmental,SRR7188621.1,
Simmental,SRR7188622.1,
Simmental,SRR7188623.1,
Kazakh,SRR8893823.1,
Kazakh,SRR8893822,
Kazakh,SRR8893821,
Qinchuan,SRR4420131.1,
Qinchuan,SRR4420132.1,
Qinchuan,SRR4420133.1,
Qinchuan,SRR4420134.1,
Qinchuan,SRR4420135.1,
Qinchuan,SRR4420136.1,
Qinchuan,SRR4420137.1,
Holstein,ERR3555910,
Holstein,ERR3556030,
Holstein,ERR3555914,
Holstein,ERR3555918,
Holstein,ERR3555978,
Holstein,ERR3555934,
Holstein,ERR3555994,
Holstein,ERR3555954,
Holstein,ERR3555878,
Holstein,ERR3555986,
Holstein,ERR3556002,
Holstein,ERR3555890,
Holstein,ERR3556034,
Holstein,ERR3555974,
Holstein,ERR3555962,
Holstein,ERR3556042,
Holstein,ERR3556018,
Holstein,ERR3555926,
Holstein,ERR3556026,
Holstein,ERR3556006,
Holstein,ERR3556022,
Holstein,ERR3555902,
Holstein,ERR3555946,
Holstein,ERR3555998,
Holstein,ERR3555922,
Holstein,ERR3555858,
Holstein,ERR3555970,
Holstein,ERR3555894,
Holstein,ERR3556010,
Holstein,ERR3555882,
Holstein,ERR3555866,
Holstein,ERR3555862,
Holstein,ERR3555958,
Holstein,ERR3556014,
Holstein,ERR3555990,
Holstein,ERR3555982,
Holstein,ERR3555942,
Holstein,ERR3555874,
Holstein,ERR3555938,
Holstein,ERR3555898,
Holstein,ERR3556038,
Holstein,ERR3555906,
Holstein,ERR3555950,
Holstein,ERR3555930,
Holstein,ERR3555870,
Holstein,ERR3555886,
Holstein,ERR3555966,
Holstein,ERR3555854,
